course_code,prof_name,avg_grade,samples
CHE352A,Raghvendra Singh,8.61,1
CHE362A,Sri Sivakumar,6.625,2
CHE381,Ishan Bajaj,7.41,1
CHE381A,Nitin Kaistha,5.646666666666666,3
CHE391A,Anurag Tripathi,8.51,2
CHE454A,Raju Kumar Gupta,7.955,4
CHE492A,Animangsu Ghatak,7.75,1
CHE492A,Nishith Verma,7.525,2
CHE492A,Rahul Mangal,8.05,1
CHE492A,Soumik Das,8.3,1
CHE611,Akash Choudhary,7.67,1
CHE611,Rahul Mangal,7.95,1
CHE611A,Anurag Tripathi,6.21,1
CHE616,Anurag Tripathi,8.0,1
CHE616A,Anurag Tripathi,9.25,1
CHE619,Naveen Tiwari,4.7,1
CHE621,Animangsu Ghatak,8.23,1
CHE621,Indranil Saha Dalal,8.0,1
